_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,Beer_Name_Beer_Name_jac_qgm_3_qgm_3,Beer_Name_Beer_Name_cos_dlm_dc0_dlm_dc0,Beer_Name_Beer_Name_jac_dlm_dc0_dlm_dc0,Beer_Name_Beer_Name_mel,Beer_Name_Beer_Name_lev_dist,Beer_Name_Beer_Name_lev_sim,Beer_Name_Beer_Name_nmw,Beer_Name_Beer_Name_sw,Brew_Factory_Name_Brew_Factory_Name_jac_qgm_3_qgm_3,Brew_Factory_Name_Brew_Factory_Name_cos_dlm_dc0_dlm_dc0,Brew_Factory_Name_Brew_Factory_Name_jac_dlm_dc0_dlm_dc0,Brew_Factory_Name_Brew_Factory_Name_mel,Brew_Factory_Name_Brew_Factory_Name_lev_dist,Brew_Factory_Name_Brew_Factory_Name_lev_sim,Brew_Factory_Name_Brew_Factory_Name_nmw,Brew_Factory_Name_Brew_Factory_Name_sw,Style_Style_jac_qgm_3_qgm_3,Style_Style_cos_dlm_dc0_dlm_dc0,Style_Style_jac_dlm_dc0_dlm_dc0,Style_Style_mel,Style_Style_lev_dist,Style_Style_lev_sim,Style_Style_nmw,Style_Style_sw,ABV_ABV_jac_qgm_3_qgm_3,ABV_ABV_cos_dlm_dc0_dlm_dc0,ABV_ABV_jac_dlm_dc0_dlm_dc0,ABV_ABV_mel,ABV_ABV_lev_dist,ABV_ABV_lev_sim,ABV_ABV_nmw,ABV_ABV_sw,label
0,2082,1496,0.0,0.7185398655139289,4.0,0.0,0.46153846153846156,0.5999999999999999,0.42857142857142855,0.6464646458625793,13.0,0.6060606060606061,11.0,19.0,0.0,0.0,0.0,0.46302488446235657,19.0,0.17391304347826086,-6.0,3.0,0.38235294117647056,0.5163977794943222,0.3333333333333333,0.8354636430740356,10.0,0.5833333333333333,9.0,10.0,0.23076923076923078,0.4999999999999999,0.3333333333333333,0.7777777910232544,2.0,0.6666666666666667,4.0,4.0,0
1,982,2999,0.0,0.3274424808269423,3.0,0.25,0.6285714285714286,0.8164965809277261,0.6666666666666666,0.7222222089767456,11.0,0.6666666666666667,11.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,26.0,26.0,0.12121212121212122,0.31622776601683794,0.16666666666666666,0.4546296298503876,18.0,0.25,-9.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,1
2,3715,2562,0.0,0.6896366083445491,4.0,0.0,0.3333333333333333,0.6708203932499369,0.5,0.6829663515090942,15.0,0.5161290322580645,6.0,15.0,0.0,0.0,0.0,0.5019841194152832,18.0,0.1428571428571429,-2.0,2.0,0.03773584905660377,0.18257418583505536,0.1,0.49444442987442017,25.0,0.16666666666666663,-1.0,5.0,0.45454545454545453,0.4999999999999999,0.3333333333333333,0.9111111164093018,1.0,0.8333333333333334,5.0,5.0,0
3,3246,284,0.0,0.0874922982131855,3.0,0.25,0.25,0.5039526306789696,0.3333333333333333,0.7183007597923279,34.0,0.29166666666666663,8.0,13.0,0.37209302325581395,0.5,0.3333333333333333,0.7167430520057678,11.0,0.6206896551724138,15.0,17.0,0.37037037037037035,0.6324555320336759,0.4,0.7259259223937988,15.0,0.375,-6.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.0,0.0,0
4,1931,810,0.0,0.4194717762817193,4.0,0.0,0.38461538461538464,0.4472135954999579,0.2857142857142857,0.6699561476707458,17.0,0.46875,0.0,15.0,0.06818181818181818,0.0,0.0,0.4025973975658417,21.0,0.045454545454545414,1.0,5.0,0.10256410256410256,0.31622776601683794,0.16666666666666666,0.5388888716697693,18.0,0.25,-3.0,4.0,0.18181818181818182,0.4999999999999999,0.3333333333333333,0.0,4.0,0.33333333333333337,-1.0,2.0,1
5,704,411,0.0,0.5838068181818181,3.0,0.0,0.3584905660377358,0.6123724356957946,0.42857142857142855,0.6569697260856628,22.0,0.5,3.0,20.0,0.0,0.0,0.0,0.5574495196342468,29.0,0.12121212121212122,2.0,5.0,0.38235294117647056,0.5163977794943222,0.3333333333333333,0.8354636430740356,10.0,0.5833333333333333,9.0,10.0,0.45454545454545453,0.4999999999999999,0.3333333333333333,0.9111111164093018,1.0,0.8333333333333334,5.0,5.0,0
6,1880,872,0.0,0.46382978723404256,3.0,0.25,0.2653061224489796,0.5,0.3,0.7955555319786072,32.0,0.28888888888888886,-17.0,9.0,0.3235294117647059,0.5773502691896258,0.4,0.8267186880111694,13.0,0.4347826086956522,2.0,10.0,0.37037037037037035,0.6324555320336759,0.4,0.7259259223937988,15.0,0.375,-6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,-5.0,0.0,0
7,3325,2266,0.0,0.6815037593984963,4.0,0.0,0.3695652173913043,0.6708203932499369,0.5,0.6825897693634033,13.0,0.59375,14.0,17.0,0.23076923076923078,0.2886751345948129,0.16666666666666666,0.6421670317649841,12.0,0.4782608695652174,9.0,11.0,0.38235294117647056,0.5163977794943222,0.3333333333333333,0.8354636430740356,10.0,0.5833333333333333,9.0,10.0,0.3,0.4999999999999999,0.3333333333333333,0.550000011920929,3.0,0.5,0.0,2.0,0
8,2047,1103,0.0,0.5388373229115779,4.0,0.0,0.3541666666666667,0.5999999999999999,0.42857142857142855,0.6067204475402832,14.0,0.5625,17.0,17.0,0.05454545454545454,0.0,0.0,0.45568183064460754,28.0,0.125,-7.0,5.0,0.38235294117647056,0.5163977794943222,0.3333333333333333,0.8354636430740356,10.0,0.5833333333333333,9.0,10.0,0.14285714285714285,0.4999999999999999,0.3333333333333333,0.6666666865348816,3.0,0.5,3.0,3.0,0
9,2718,2787,0.0,0.9752421959095802,2.0,0.5,0.3170731707317073,0.6708203932499369,0.5,0.6815887093544006,18.0,0.3793103448275862,3.0,8.0,0.17142857142857143,0.40824829046386296,0.25,0.6003968119621277,14.0,0.33333333333333337,-1.0,8.0,0.37037037037037035,0.6324555320336759,0.4,0.7259259223937988,15.0,0.375,-6.0,6.0,0.45454545454545453,0.4999999999999999,0.3333333333333333,0.9111111164093018,1.0,0.8333333333333334,5.0,5.0,0
