_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,title_title_jac_qgm_3_qgm_3,title_title_cos_dlm_dc0_dlm_dc0,title_title_mel,title_title_lev_dist,title_title_lev_sim,manufacturer_manufacturer_jac_qgm_3_qgm_3,manufacturer_manufacturer_cos_dlm_dc0_dlm_dc0,manufacturer_manufacturer_jac_dlm_dc0_dlm_dc0,manufacturer_manufacturer_mel,manufacturer_manufacturer_lev_dist,manufacturer_manufacturer_lev_sim,manufacturer_manufacturer_nmw,manufacturer_manufacturer_sw,price_price_exm,price_price_anm,price_price_lev_dist,price_price_lev_sim,label
0,571,946,0.0,0.6035940803382664,3.0,0.0,0.24615384615384617,0.3651483716701107,0.6475265622138977,26.0,0.4222222222222223,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.31389647092924944,4.0,0.33333333333333337,0
1,574,2423,0.0,0.23689640940982248,4.0,0.0,0.21518987341772153,0.31622776601683794,0.8227442502975464,40.0,0.33333333333333337,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.12492836676217767,3.0,0.4,0
2,250,2839,0.0,0.08805917576611488,3.0,0.25,0.3103448275862069,0.33806170189140655,0.8297777771949768,18.0,0.5,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.6996996996996997,1.0,0.8,0
3,1162,2109,0.0,0.5509720246562352,3.0,0.25,0.31,0.4364357804719848,0.8664636611938477,40.0,0.5,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.8099999999999999,4.0,0.33333333333333337,1
4,741,358,0.0,0.48313090418353577,3.0,0.0,0.3269230769230769,0.5000000000000001,0.6767961382865906,16.0,0.5789473684210527,1.0,1.0,1.0,1.0,0.0,1.0,19.0,19.0,0.0,0.9950497524876243,2.0,0.6666666666666667,1
5,396,1253,0.0,0.31604150039904233,4.0,0.0,0.21568627450980393,0.22360679774997896,0.8273809552192688,28.0,0.33333333333333337,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.40002000200020005,2.0,0.6666666666666667,0
6,513,989,0.0,0.5187057633973711,3.0,0.0,0.2647058823529412,0.4629100498862757,0.5884994268417358,32.0,0.34693877551020413,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.8695084819486734,2.0,0.6,0
7,892,951,0.0,0.9379600420609884,3.0,0.0,0.20454545454545456,0.5,0.7616831660270691,20.0,0.31034482758620685,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.12013767209011261,4.0,0.19999999999999996,0
8,1229,1595,0.0,0.7705329153605016,3.0,0.25,0.21839080459770116,0.2357022603955158,0.8053929209709167,34.0,0.4035087719298246,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.028163950143815914,0.5680481724252554,3.1083413231064236,0.4526395737265823,0
9,510,2845,0.0,0.17926186291739898,4.0,0.0,0.26865671641791045,0.3086066999241838,0.6675213575363159,21.0,0.5333333333333333,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.6652217405801935,2.0,0.6,0
10,26,521,0.0,0.0499040307101728,2.0,0.33333333333333337,0.3023255813953488,0.4472135954999579,0.8218420743942261,21.0,0.30000000000000004,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.16023665721681257,6.0,0.1428571428571429,0
11,1272,2438,0.0,0.5217391304347826,4.0,0.0,0.20634920634920634,0.3563483225498992,0.7623845338821411,107.0,0.24647887323943662,0.5868449058000009,0.5979164307112208,0.5347063310450038,0.8523786130022403,6.628146453089244,0.6664095746769234,7.218535469107551,11.23913043478261,0.0,0.35364258789137626,4.0,0.33333333333333337,0
