_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,name_name_jac_qgm_3_qgm_3,name_name_cos_dlm_dc0_dlm_dc0,name_name_jac_dlm_dc0_dlm_dc0,name_name_mel,name_name_lev_dist,name_name_lev_sim,name_name_nmw,name_name_sw,addr_addr_jac_qgm_3_qgm_3,addr_addr_cos_dlm_dc0_dlm_dc0,addr_addr_mel,addr_addr_lev_dist,addr_addr_lev_sim,city_city_jac_qgm_3_qgm_3,city_city_cos_dlm_dc0_dlm_dc0,city_city_jac_dlm_dc0_dlm_dc0,city_city_mel,city_city_lev_dist,city_city_lev_sim,city_city_nmw,city_city_sw,type_type_jac_qgm_3_qgm_3,type_type_cos_dlm_dc0_dlm_dc0,type_type_jac_dlm_dc0_dlm_dc0,type_type_mel,type_type_lev_dist,type_type_lev_sim,type_type_nmw,type_type_sw,class_class_exm,class_class_anm,class_class_lev_dist,class_class_lev_sim,label
0,92,184,0.0,0.5,3.0,0.0,0.05555555555555555,0.0,0.0,0.4724358916282654,21.0,0.1923076923076923,-13.0,5.0,0.5483870967741935,0.6708203932499369,0.9112982153892517,7.0,0.72,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.3888888955116272,6.0,0.0,0.0,1.0,0.0,0.12795549374130732,3.0,0.0,0
1,256,89,0.0,0.34765625,3.0,0.0,0.11428571428571428,0.4472135954999579,0.2857142857142857,0.7294513583183289,12.0,0.33333333333333337,4.0,4.0,0.5384615384615384,0.5999999999999999,0.8769315481185913,4.0,0.7894736842105263,0.65,0.8944271909999159,0.8,0.9411764740943909,5.0,0.7058823529411764,7.0,11.0,0.0,0.0,0.0,0.4840908944606781,19.0,0.13636363636363635,-11.0,2.0,0.0,0.4077046548956661,3.0,0.0,0
2,436,223,0.0,0.5114678899082569,3.0,0.0,0.10869565217391304,0.3651483716701107,0.2222222222222222,0.7176634669303894,20.0,0.2857142857142857,-1.0,4.0,0.5909090909090909,0.75,0.9182072877883911,4.0,0.7647058823529411,0.14285714285714285,0.5,0.3333333333333333,0.6974359154701233,10.0,0.375,3.0,3.0,0.0,0.0,0.0,0.5722222328186035,16.0,0.19999999999999996,-8.0,4.0,0.0,0.011467889908256867,3.0,0.0,0
3,415,161,0.0,0.38795180722891565,3.0,0.0,0.1388888888888889,0.3999999999999999,0.25,0.6920228004455566,17.0,0.29166666666666663,-4.0,4.0,0.5862068965517241,0.7999999999999998,0.9238095283508301,4.0,0.8095238095238095,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,0.16666666666666666,0.0,0.0,0.6000000238418579,3.0,0.4,2.0,2.0,0.0,0.5971223021582734,2.0,0.33333333333333337,0
4,18,46,0.0,0.3913043478260869,2.0,0.0,0.125,0.5,0.3333333333333333,0.7074074149131775,11.0,0.3125,4.0,4.0,0.6129032258064516,0.75,0.9188405871391296,4.0,0.8260869565217391,0.0,0.0,0.0,0.3222222328186035,14.0,0.06666666666666665,-8.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,-1.0,0.0,0.0,0.03103448275862064,2.0,0.33333333333333337,0
5,221,277,0.0,0.7978339350180506,2.0,0.33333333333333337,0.0,0.0,0.0,0.4888888895511627,13.0,0.1333333333333333,-7.0,2.0,0.52,0.5999999999999999,0.8941176533699036,3.0,0.8235294117647058,0.65,0.8944271909999159,0.8,0.9411764740943909,5.0,0.7058823529411764,7.0,11.0,0.0,0.0,0.0,0.5833333134651184,8.0,0.0,0.0,2.0,0.0,0.26940639269406397,2.0,0.33333333333333337,0
6,43,257,0.0,0.16731517509727623,3.0,0.0,0.0,0.0,0.0,0.4958333373069763,13.0,0.1875,-3.0,2.0,0.52,0.5999999999999999,0.7869747877120972,3.0,0.8235294117647058,0.65,0.8944271909999159,0.8,0.9411764740943909,5.0,0.7058823529411764,7.0,11.0,0.0,0.0,0.0,0.4840908944606781,19.0,0.13636363636363635,-11.0,2.0,0.0,0.9069767441860466,2.0,0.0,0
7,356,93,0.0,0.2612359550561798,3.0,0.0,0.0,0.0,0.0,0.420797735452652,16.0,0.11111111111111116,-3.0,3.0,0.6521739130434783,0.7999999999999998,0.8894117474555969,2.0,0.8823529411764706,0.65,0.8944271909999159,0.8,0.9411764740943909,5.0,0.7058823529411764,7.0,11.0,0.0,0.0,0.0,0.6583333611488342,6.0,0.25,-1.0,2.0,0.0,0.5677830940988835,3.0,0.0,0
8,24,268,0.0,0.08955223880597019,2.0,0.33333333333333337,0.0,0.0,0.0,0.4365079402923584,6.0,0.1428571428571429,0.0,1.0,0.52,0.5999999999999999,0.8512605428695679,3.0,0.8235294117647058,0.65,0.8944271909999159,0.8,0.9411764740943909,5.0,0.7058823529411764,7.0,11.0,0.0,0.0,0.0,0.411255419254303,11.0,0.0,-4.0,1.0,0.0,0.48,2.0,0.0,0
9,379,156,0.0,0.4116094986807388,3.0,0.0,0.0,0.0,0.0,0.4833333194255829,5.0,0.0,-1.0,1.0,0.696969696969697,0.8333333333333335,0.9589743614196777,3.0,0.8846153846153846,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,0.043478260869565216,0.0,0.0,0.6096703410148621,8.0,0.3846153846153846,-1.0,3.0,0.0,0.5492753623188406,3.0,0.0,0
